,meteorite_name,recclass,mass_g,impact_year,retclat,reclong
297,Forsyth,L6,"16,300",1829,33.01667,-83.96667
298,Frankfort (stone),Howardite,650,1868,34.48333,-87.83333
299,Fuhe,L5,"23,000",1945,31.47556,113.56694
300,Fukutomi,L5,"11,620",1882,33.18333,130.2
301,Futtehpur,L6,"4,000",1822,25.95,80.81667
302,Fuyang,Stone-uncl,"2,500",1977,32.9,115.9
303,Galapian,H6,132.7,1826,44.3,0.4
304,Galim (a),LL6,36.1,1952,7.05,12.43333
305,Galim (b),EH3/4-an,28,1952,7.05,12.43333
306,Galkiv,H4,"5,000",1995,51.68333,30.78333
307,Gambat,L6,"6,400",1897,27.35,68.53333
308,Garhi Yasin,"Iron, IIE",380,1917,27.88333,68.53333
309,Garland,Diogenite-pm,102,1950,41.68333,-112.13333
310,Gashua,L6,"4,162",1984,12.85,11.03333
311,Geidam,H5,725,1950,12.91667,11.91667
312,Gifu,L6,"14,290",1909,35.53333,136.88333
313,Girgenti,L6,"18,000",1853,37.31667,13.56667
314,Git-Git,L6,480,1947,9.6,9.91667
315,Glanerbrug,L/LL5,670,1990,52.2,6.86667
316,Glanggang,H5-6,"1,303",1939,-7.25,107.7
317,Glasatovo,H4,"152,000",1918,57.35,37.61667
318,Glatton,L6,767,1991,52.45972,-0.3
319,Gnadenfrei,H5,"1,750",1879,50.66667,16.76667
320,Gopalpur,H6,"1,600",1865,24.23333,89.05
321,Gorlovka,H3.7,"3,618",1974,48.28333,38.08333
322,Granes,L6,"9,000",1964,42.9,2.25
323,Grefsheim,L5,45.5,1976,60.66667,11
324,Grimsby,H5,215,2009,43.2,-79.61667
325,Grosnaja,CV3,"3,500",1861,43.66667,45.38333
326,Gross-Divina,H5,"10,500",1837,49.26667,18.71667
327,Grossliebenthal,L6,"8,000",1881,46.35,30.58333
328,Grüneberg,H4,"1,000",1841,51.93333,15.5
329,Grzempach,H5,690,1910,52.86667,16.63333
330,Gualeguaychú,H6,"22,000",1932,-33,-58.61667
331,Guangmingshan,H5,"2,910",1996,39.80417,122.76389
332,Guangrao,L6,"1,900",1980,37.1,118.4
333,Guareña,H6,"39,000",1892,38.73333,-6.01667
334,Guêa,Stone-uncl,"1,915",1891,43.76667,20.23333
335,Guibga,L5,288,1972,13.5,-0.68333
336,Guidder,LL5,968,1949,9.91667,13.98333
337,Gujargaon,H5,"2,449",1982,22.98333,76.05
338,Gujba,CBa,"100,000",1984,11.49167,11.65833
339,Gumoschnik,H5,"5,700",1904,42.9,24.7
340,Gurram Konda,L6,28,1814,13.78333,78.56667
341,Gursum,H4/5,"34,650",1981,9.36667,42.41667
342,Gütersloh,H3/4,"1,000",1851,51.91667,8.38333
343,Gyokukei,OC,"1,320",1930,35,127.5
344,Hachi-oji,H?,0.2,1817,35.65,139.33333
345,Hainaut,H3-6,"9,000",1934,50.31667,3.73333
346,Hallingeberg,L3.4,"1,456",1944,57.81667,16.23333
347,Hamlet,LL4,"3,710",1959,41.38333,-86.6
348,Haraiya,Eucrite-mmict,"1,000",1878,26.8,82.53333
349,Haripura,CM2,315,1921,28.38333,75.78333
350,Harleton,L6,"8,360",1961,32.675,-94.51167
351,Harrison County,L6,680,1859,38.25,-86.16667
352,Hashima,H4,"1,110.60",1910,35.2945,136.70033
353,Hassi-Jekna,"Iron, IAB-sHL","1,250",1890,28.95,0.81667
354,Hatford,Stone-uncl,"29,000",1628,51.65,-1.51667
355,Haverö,Ureilite,"1,544",1971,60.24556,22.06194
356,Hedeskoga,H5,"3,500",1922,55.46667,13.78333
357,Hedjaz,L3.7-6,"6,100",1910,27.33333,35.66667
358,Heredia,H5,"1,000",1857,10,-84.1
359,Hessle,H5,"20,000",1869,59.85,17.66667
360,Higashi-koen,H5,750,1897,33.6,130.43333
361,High Possil,L6,"4,500",1804,55.9,-4.23333
362,Hiroshima,H5,414,2003,34.45,132.38333
363,Hoima,H6,167.7,2003,1.345,31.47278
364,Hökmark,L4,305.5,1954,64.43333,21.2
365,Holbrook,L/LL6,"220,000",1912,34.9,-110.18333
366,Holetta,Stone-uncl,"1,415",1923,9.06667,38.41667
367,Homestead,L5,"230,000",1875,41.8,-91.86667
368,Honolulu,L5,"2,420",1825,21.3,-157.86667
369,Hotse,L6,180,1956,35.66667,115.5
370,Hoxie,OC,266.1,1963,39.35,-100.45
371,Hraschina,"Iron, IID","49,000",1751,46.1,16.33333
372,Huaxi,H5,"1,600",2010,26.46469,106.63241
373,Hungen,H6,112,1877,50.3,8.91667
374,Hvittis,EL6,"14,000",1901,61.18333,22.68333
375,Ibbenbüren,Diogenite,"2,000",1870,52.28333,7.7
376,Ibitira,Eucrite-mmict,"2,500",1957,-20,-45
377,Ichkala,H6,"3,973",1936,58.2,82.93333
378,Idutywa,H5,"3,457",1956,-32.1,28.33333
379,Iguaracu,H5,"1,200",1977,-23.2,-51.83333
380,Ijopega,H6,"7,330",1975,-6.03333,145.36667
381,Indarch,EH4,"27,000",1891,39.75,46.66667
382,Independence,L6,880,1917,39.08333,-94.4
383,Inner Mongolia,L6,"3,000",1963,41,112
384,Innisfree,L5,"4,576",1977,53.415,-111.3375
385,Ipiranga,H6,"7,000",1972,-25.5,-54.5
386,Ishinga,H,"1,300",1954,-8.93333,33.8
387,Isthilart,H5,"3,050",1928,-31.18333,-57.95
388,Itapicuru-Mirim,H5,"2,024",1879,-3.4,-44.33333
389,Itqiy,EH7-an,"4,720",1990,26.59083,-12.95217
390,Ivuna,CI1,704.5,1938,-8.41667,32.43333
391,Jackalsfontein,L6,"48,000",1903,-32.5,21.9
392,Jajh deh Kot Lalu,EL6,973,1926,26.75,68.41667
393,Jalandhar,Iron,"1,967",1621,31,75
394,Jamkheir,H6,22,1866,18.75,75.33333
395,Jartai,L6,"20,500",1979,39.7,105.8
396,Jelica,LL6,"34,000",1889,43.83333,20.44167
397,Jesenice,L6,"3,667",2009,46.42137,14.05217
398,Jhung,L5,"5,900",1873,31.3,72.38333
399,Jiange,H5,222,1964,31.91667,104.91667
400,Jianshi,"Iron, IIIAB","600,000",1890,30.80833,109.5
401,Jilin,H5,"4,000,000",1976,44.05,126.16667
402,Jodiya,L5,100,2006,22.68,70.31333
403,Jodzie,Howardite,30,1877,55.7,24.4
404,Johnstown,Diogenite,"40,300",1924,40.35,-104.9
405,Jolomba,LL6,483,1974,-11.85,15.83333
406,Jonzac,Eucrite-mmict,"5,000",1819,45.43333,-0.45
407,Juancheng,H5,"100,000",1997,35.5,115.41667
408,Judesegeri,H6,680,1876,12.85,76.8
409,Jumapalo,L6,"32,490",1984,-7.71667,111.2
410,Junan,L6,950,1976,35.2,118.8
411,Juromenha,"Iron, IIIAB","25,250",1968,38.74028,-7.27
412,Juvinas,Eucrite-mmict,"91,000",1821,44.71667,4.3
413,Kaba,CV3,"3,000",1857,47.35,21.3
414,Kabo,H4,"13,400",1971,11.85,8.21667
415,Kadonah,H6,89,1822,27.08333,78.33333
416,Kaee,H5,230,1838,27.25,79.96667
417,Kagarlyk,L6,"1,900",1908,49.86667,30.83333
418,Kaidun,CR2,"2,000",1980,15,48.3
419,Kainsaz,CO3.2,"200,000",1937,55.43333,53.25
420,Kakangari,K3,350,1890,12.38333,78.51667
421,Kakowa,L6,577,1858,45.13333,21.66667
422,Kalaba,H4,950,1951,-6.83333,29.5
423,Kalumbi,L6,"4,500",1879,17.83333,73.98333
424,Kamalpur,L6,"2,770",1942,26.03333,81.46667
425,Kamiomi,H5,448,1913,36.04167,139.95667
426,Kamsagar,L6,"1,293",1902,14.18333,75.8
427,Kandahar (Afghanistan),L6,299,1959,31.6,65.78333
428,Kangean,H5,"1,630",1908,-7,115.5
429,Kangra Valley,H5,400,1897,32.08333,76.3
430,Kapoeta,Howardite,"11,355",1942,4.7,33.63333
431,Kaprada,L5/6,"1,600",2004,20.33916,73.22329
432,Kaptal-Aryk,L6,"3,500",1937,42.45,73.36667
433,Karakol,LL6,"3,000",1840,47.21667,81.01667
434,Karatu,LL6,"2,220",1963,-3.5,35.58333
